TFile *_file0 = TFile::Open("/eos/project/c/cms-ecal-calibration/www/Run2_hotspot_studies/hot_channels_list_v2.root")
tHotspots->Scan("ix:iy:iz:istatus:iworst","istatus > 0")
************************************************************************************************************
*    Row   *        ix *        iy *        iz *     iring *       eta *       phi *   istatus *    iworst *
************************************************************************************************************
*     2452 *        56 *        36 *        -1 *        34 * -2.640454 * -1.204352 *         1 *         0 *
*     2453 *        57 *        36 *        -1 *        34 * -2.615335 * -1.146538 *         2 *         0 *
*     2538 *        48 *        37 *        -1 *        36 * -2.758641 * -1.754945 *         2 *         0 *
*     2539 *        49 *        37 *        -1 *        36 * -2.769988 * -1.683617 *         2 *         0 *
*     2632 *        48 *        38 *        -1 *        37 * -2.833508 * -1.769482 *         2 *         0 *
*     2636 *        52 *        38 *        -1 *        37 * -2.844302 * -1.449196 *         3 *         0 *
*     2723 *        45 *        39 *        -1 *        37 * -2.830810 * -2.019814 *         2 *         0 *
*     2726 *        48 *        39 *        -1 *        38 * -2.912098 * -1.785809 *         3 *         0 *
*     2733 *        55 *        39 *        -1 *        37 * -2.864426 * -1.199548 *         3 *         0 *
*     2901 *        42 *        41 *        -1 *        37 * -2.835439 * -2.303933 *         1 *         1 *
*     2904 *        59 *        41 *        -1 *        37 * -2.835453 * -0.838394 *         1 *         0 *
*     3072 *        61 *        43 *        -1 *        37 * -2.819774 * -0.617000 *         2 *         0 *
*     3231 *        40 *        45 *        -1 *        38 * -2.900510 * -2.658650 *         3 *         0 *
*     3311 *        62 *        46 *        -1 *        37 * -2.861970 * -0.368885 *         3 *         0 *
*     3389 *        62 *        47 *        -1 *        37 * -2.890193 * -0.292741 *         1 *         0 *
*     3544 *        39 *        49 *        -1 *        38 * -2.922615 * -3.010689 *         1 *         0 *
*     3622 *        39 *        50 *        -1 *        38 * -2.930104 * -3.095231 *         1 *         0 *
*     3623 *        62 *        50 *        -1 *        38 * -2.930602 * -0.045568 *         1 *         0 *
*     3699 *        38 *        51 *        -1 *        37 * -2.849267 * 3.0994529 *         1 *         0 *
*     4092 *        61 *        56 *        -1 *        38 * -2.900753 * 0.4817878 *         3 *         0 *
*     4093 *        62 *        56 *        -1 *        37 * -2.830128 * 0.4462394 *         3 *         0 *
*     4507 *        57 *        61 *        -1 *        37 * -2.861704 * 1.0155378 *         3 *         0 *
*     4508 *        58 *        61 *        -1 *        37 * -2.820134 * 0.9510462 *         3 *         0 *
